chart_name,date,title,artist,rank,weeks,peakPos,lastPos,change,spotifyLink
hot-100,6/11/16,My House,Flo Rida,19,29,4,16,-3,https://embed.spotify.com/?uri=spotify:track:6Knv6wdA0luoMUuuoYi2i1
hot-100,6/11/16,"Me, Myself & I",G-Eazy x Bebe Rexha,20,30,7,18,-2,https://embed.spotify.com/?uri=spotify:track:0KMYgSe9JWHloFeEVBU6qq
hot-100,6/11/16,Controlla,Drake,21,4,21,22,1,https://embed.spotify.com/?uri=spotify:track:4CpKEkdGbOJV51cSvx7SoG
hot-100,6/11/16,Low Life,Future Featuring The Weeknd,22,16,18,20,-2,https://embed.spotify.com/?uri=spotify:track:71SDPonZOsIKNtqnaX8LXj
hot-100,6/11/16,H.O.L.Y.,Florida Georgia Line,23,4,20,21,-2,https://embed.spotify.com/?uri=spotify:track:19PJf5HzeiVW0mdk82Swmn
hot-100,6/11/16,Cheap Thrills,Sia Featuring Sean Paul,24,15,19,34,10,https://embed.spotify.com/?uri=spotify:track:7BPw9h8vCIX94N0rjFU12S
hot-100,6/11/16,Don't Mind,Kent Jones,25,4,13,31,6,https://embed.spotify.com/?uri=spotify:track:5c6vPEx6QTUTjmLiza1bpy
hot-100,6/11/16,Send My Love (To Your New Lover),Adele,26,2,26,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:70uEe3Key95fjdHfcf5ELt
hot-100,6/11/16,Let It Go,James Bay,27,23,27,28,1,https://embed.spotify.com/?uri=spotify:track:2ggSyGB5HnVvGDGofu3ITZ
hot-100,6/11/16,Pop Style,Drake Featuring The Throne,28,8,16,23,-5,https://embed.spotify.com/?uri=spotify:track:6nwp8mY3CYoRev6h8ar1MJ
hot-100,6/11/16,Lost Boy,Ruth B,29,14,28,30,1,https://embed.spotify.com/?uri=spotify:track:4h0zU3O9R5xzuTmNO7dNDU
hot-100,6/11/16,Ride,twenty one pilots,30,11,22,36,6,https://embed.spotify.com/?uri=spotify:track:2Z8WuEywRWYTKe1NybPQEW
hot-100,6/11/16,Oui,Jeremih,31,21,19,25,-6,https://embed.spotify.com/?uri=spotify:track:6NLIinNi8IxKcCGHzrGCdW
hot-100,6/11/16,2 Phones,Kevin Gates,32,21,17,27,-5,https://embed.spotify.com/?uri=spotify:track:6VcAvPi9QbnUO42pQy6WVN
hot-100,6/11/16,Sorry,Justin Bieber,33,31,1,29,-4,https://embed.spotify.com/?uri=spotify:track:2GpHJb7xGNBaIDTrBxjIu6
hot-100,6/11/16,Too Good,Drake Featuring Rihanna,34,4,30,33,-1,https://embed.spotify.com/?uri=spotify:track:7fJtPlEZKxu6gvkfBFc5tW
hot-100,6/11/16,No,Meghan Trainor,35,12,3,19,-16,https://embed.spotify.com/?uri=spotify:track:0NmeI6UpRE27dxxgosD5n9
hot-100,6/11/16,Came Here To Forget,Blake Shelton,36,12,36,44,8,https://embed.spotify.com/?uri=spotify:track:1HwAeValR9dJzAf8Erlv3s
hot-100,6/11/16,Cut It,O.T. Genasis Featuring Young Dolph,37,14,36,43,6,https://embed.spotify.com/?uri=spotify:track:376KnY4TrgBITxjlnbnmIy
hot-100,6/11/16,All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,38,9,38,51,13,https://embed.spotify.com/?uri=spotify:track:61QSuw5VlC0LTS8WMO356g
hot-100,6/11/16,Sorry,Beyonce,39,5,11,40,1,https://embed.spotify.com/?uri=spotify:track:4k8Kq3yLE7I7umYfN08YCU
hot-100,6/11/16,My Boo,Ghost Town DJ's,40,35,27,32,-8,https://embed.spotify.com/?uri=spotify:track:2OawRn0NvWkStuemgdae4i
hot-100,6/11/16,Me Too,Meghan Trainor,41,2,37,39,-2,https://embed.spotify.com/?uri=spotify:track:1m4dXbkplvaOO4Wbdjbwxs
hot-100,6/11/16,Exchange,Bryson Tiller,42,31,26,37,-5,https://embed.spotify.com/?uri=spotify:track:43PuMrRfbyyuz4QpZ3oAwN
hot-100,6/11/16,Middle,DJ Snake Featuring Bipolar Sunshine,43,19,20,38,-5,https://embed.spotify.com/?uri=spotify:track:2Fn3coxd0xAZ09JtrgcgHa
hot-100,6/11/16,Humble And Kind,Tim McGraw,44,16,30,46,2,https://embed.spotify.com/?uri=spotify:track:1qosWrKxri24ZIzH4ZDFcp
hot-100,6/11/16,Hype,Drake,45,4,33,35,-10,https://embed.spotify.com/?uri=spotify:track:07GilNHSfS5oicUgHgU7VG
hot-100,6/11/16,One Call Away,Charlie Puth,46,26,12,42,-4,https://embed.spotify.com/?uri=spotify:track:2uEJanMvnA1dXgX1ASnPQm
hot-100,6/11/16,T-Shirt,Thomas Rhett,47,13,41,52,5,https://embed.spotify.com/?uri=spotify:track:4V1whwvK4LMHya60xDxuj8
hot-100,6/11/16,Somewhere On A Beach,Dierks Bentley,48,17,35,45,-3,https://embed.spotify.com/?uri=spotify:track:5l5cQAKkeGIkPBH3ieHYju
hot-100,6/11/16,The Sound Of Silence,Disturbed,49,14,42,66,17,https://embed.spotify.com/?uri=spotify:track:1Cj2vqUwlJVG27gJrun92y
hot-100,6/11/16,Wild Things,Alessia Cara,50,14,50,53,3,https://embed.spotify.com/?uri=spotify:track:1TNACNvhOjF24VegRqRNwd
hot-100,6/11/16,Into You,Ariana Grande,51,2,48,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:3AnwddQhBCSDUwlvbRGyDA
hot-100,6/11/16,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,52,9,49,56,4,https://embed.spotify.com/?uri=spotify:track:1lGOow8CQ1sk4NDHJgXXUJ
hot-100,6/11/16,Snapback,Old Dominion,53,18,50,54,1,https://embed.spotify.com/?uri=spotify:track:7I5fYc4qKJddht8Ozhqqdx
hot-100,6/11/16,Never Be Like You,Flume Featuring Kai,54,8,46,58,4,https://embed.spotify.com/?uri=spotify:track:4ja3m5fYLcugwuXB6Jkh4Y
hot-100,6/11/16,Still Here,Drake,55,4,40,47,-8,https://embed.spotify.com/?uri=spotify:track:4YJmZfvlheSziXem8HBWrj
hot-100,6/11/16,Grammys,Drake Featuring Future,56,4,38,50,-6,https://embed.spotify.com/?uri=spotify:track:2JfeUjJvP1lJkCSne9g0de
hot-100,6/11/16,Childs Play,Drake,57,4,49,55,-2,https://embed.spotify.com/?uri=spotify:track:0k9RIzZtAo4DTQu0ZM6lNZ
hot-100,6/11/16,Wicked,Future,58,6,51,62,4,https://embed.spotify.com/?uri=spotify:track:6ELbS9xUlkOoAcWDonzc2L
hot-100,6/11/16,I Hate U I Love U,gnash Featuring Olivia O'Brien,59,6,59,76,17,https://embed.spotify.com/?uri=spotify:track:7vRriwrloYVaoAe3a9wJHe
hot-100,6/11/16,My Church,Maren Morris,60,18,50,64,4,https://embed.spotify.com/?uri=spotify:track:69guyOwpeKji5OY8wMdsDI
hot-100,6/11/16,Uber Everywhere,MadeinTYO,61,8,56,71,10,https://embed.spotify.com/?uri=spotify:track:7zBPzAjKAqQpcv8F8GCq5s
hot-100,6/11/16,Body,Dreezy Featuring Jeremih,62,10,62,70,8,https://embed.spotify.com/?uri=spotify:track:5DZHM6KMuTXl3sJin3b6yx
hot-100,6/11/16,Mind Reader,Dustin Lynch,63,14,57,57,-6,https://embed.spotify.com/?uri=spotify:track:1N0j6Gw5lmfI7kipAgYcma
hot-100,6/11/16,With You,Drake Featuring PARTYNEXTDOOR,64,4,47,59,-5,https://embed.spotify.com/?uri=spotify:track:5PMNu7kMZ4msbxiKnDTOt0
hot-100,6/11/16,Feel No Ways,Drake,65,4,53,61,-4,https://embed.spotify.com/?uri=spotify:track:12C1XYFQGZYXRYJNbsgDc7
hot-100,6/11/16,Messin' Around,Pitbull Featuring Enrique Iglesias,66,4,66,95,29,https://embed.spotify.com/?uri=spotify:track:6rKEs1WbHJIi88UpHRhFLD
hot-100,6/11/16,Church Bells,Carrie Underwood,67,3,63,79,12,https://embed.spotify.com/?uri=spotify:track:67citk3uzWs5qbaIVKTeg8
hot-100,6/11/16,You Don't Own Me,Grace Featuring G-Eazy,68,4,68,77,9,https://embed.spotify.com/?uri=spotify:track:2CpH1L4CUR47RARB3PgY1l
hot-100,6/11/16,Think Of You,Chris Young Duet With Cassadee Pope,69,15,40,65,-4,https://embed.spotify.com/?uri=spotify:track:6W9W8dSswA8KNegvl3W97V
hot-100,6/11/16,Wasted Time,Keith Urban,70,5,64,73,3,https://embed.spotify.com/?uri=spotify:track:5BIwPoVMFnFIr8RzJunRvf
hot-100,6/11/16,Head Over Boots,Jon Pardi,71,13,68,81,10,https://embed.spotify.com/?uri=spotify:track:1R9FxlRkvKtt36dtTHs93X
hot-100,6/11/16,9,Drake,72,4,45,60,-12,https://embed.spotify.com/?uri=spotify:track:4uCAKqQQYJaIvyzq4sZkaO
